id,age,sex,What is your sex?-TEXT,ori,What is your sexual orientation?-TEXT,asian,black,hispanic,native,hawaii,white,other,preferno,language,zip,educ,momeduc,dadeduc,poli,eatmeat,oftmeat,likemeat,goodappear,ethic,environ,goodhealth,partner,cost,avail,taste,badappear,badhealth,percentmeat,percentveg,percentvegan,percentother,compare_point,accurate,admirable,alert,ambitious,amiable,amusing,attentive,capable,cautious,cheerful,clean-cut,clever,competent,composed,confident,considerate,constructive,cool-headed,cooperative,cordial,courteous,cultured,curious,decent,dependable,direct,disciplined,educated,emotional,energetic,enthusiastic,ethical,forgiving,good,grateful,happy,healthy,helpful,honest,honorable,hopeful,humorous,independent,inquisitive,intellectual,kind,lighthearted,likable,logical,mathematical,mature,modest,moral,observant,optimistic,original,outgoing,outstanding,passionate,patient,persistent,persuasive,philosophical,pleasant,positive,practical,proficient,progressive,prompt,punctual,purposeful,rational,refined,relaxed,reliable,responsible,righteous,sensible,skillful,sophisticated,strong-minded,studious,tactful,talkative,tender,thorough,thoughtful,tolerant,tough,trustful,trusting,truthful,understanding,venturesome,well-mannered,wellread,well-spoken,wholesome,witty,absent-minded,abusive,aggressive,aimless,angry,authoritative,bad,bashful,belligerent,boastful,boring,bossy,bragging,careless,cold-hearted,conceited,cruel,cunning,cynical,disagreeable,disturbed,dominating,egotistical,fearful,finicky,foolish,frivolous,frustrated,gloomy,gossipy,greedy,grouchy,gullible,high-strung,hostile,hypochondriac,ill-mannered,ill-tempered,impolite,indifferent,inhibited,insolent,insulting,irresponsible,irritating,jealous,jumpy,lackingimagination,loud-mouthed,maladjusted,malicious,materialistic,meddlesome,mediocre,melancholy,messy,misfit,moody,naive,narrow-minded,nosey,obnoxious,overconfident,pessimistic,petty,phony,possessive,prejudiced,profane,quarrelsome,radical,rash,rebellious,rigid,rude,sad,scheming,scolding,selfish,shallow,short-tempered,showy,shrewd,smug,solemn,spiteful,squeamish,stingy,strict,superficial,superstitious,theatrical,timid,troublesome,underhanded,unreasonable,unreliable,wasteful,weak,wishy-washy,feeltired,feelnervous,needcalm,feelhopeless,feelrestless,sitstill,feeldepressed,nocheer,feeleffort,feelworthless,last30,unablework,nodays,seeprofess,physicalhealth,tip_extrovert,tip_critical,tip_dependable,tip_anxious,tip_open,tip_reserved,tip_sympathetic,tip_disorganized,tip_calm,tip_conventional,oft_drink,typ_drinks,oft_six,cutback,criticized,feltguilty,steadynerves,K10,tip_reservedR,tip_criticalR,tip_disorgR,tip_anxR,tip_convenR,TIPI_Total,TIPI_Extroversion,TIPI_Agreeableness,TIPI_Conscientiousness,TIPI_EmoStab,TIPI_Openness,oftdrink,typdrink,oftsix,AUDITC,cutbk,critic,guilty,nerves,CAGE
R_2SfqIi12kRp0mgz,37,1,,1,,1,,,,,,,,english,11428,4,1,1,3,1,2,2,,,,,,,,,,,,,,,"Queens, ny",5,2,5,3,3,2,3,6,5,4,4,3,3,3,3,3,2,3,5,4,4,3,3,3,5,5,3,2,6,4,3,4,4,5,5,4,3,5,2,5,2,2,2,6,6,5,3,3,5,2,5,5,5,4,2,4,3,5,1,5,5,2,3,5,6,2,3,3,2,5,4,3,3,3,3,3,2,4,3,3,3,5,5,5,3,3,2,3,3,5,4,4,3,1,5,3,5,3,3,7,6,6,5,7,2,3,3,3,3,3,5,7,4,5,7,3,5,6,4,3,6,1,4,6,6,5,3,6,6,4,6,6,3,3,6,6,3,6,4,6,4,3,7,2,5,3,5,7,5,4,7,3,4,4,6,5,5,3,3,4,7,3,3,3,4,6,4,6,4,4,2,2,4,1,3,3,3,3,3,5,6,5,3,5,3,5,6,2,3,3,2,4,3,5,6,6,6,5,4,3,2,3,2,3,4,4,2,3,4,5,0,0,0,5,5,4,3,4,7,4,3,5,2,4,3,5,3,1,2,1,1,30,4,4,3,4,4,39,9,7,6,6,11,2,4,2,8,0,1,0,0,1
R_BLoRfWqxGrYHVXr,24,1,,1,,1,,,,,,,,English,2122,5,5,3,2,1,4,3,2,3,6,2,0,5,2,0,2,5,99,1,0,0,Boston,5,4,4,5,4,4,7,5,4,3,5,3,5,6,4,4,5,4,6,4,5,6,4,6,4,5,3,6,4,4,4,5,4,4,3,5,5,4,4,4,4,3,3,3,5,4,5,4,5,5,5,3,4,3,4,3,3,4,4,5,5,3,2,4,5,6,6,7,5,4,5,6,6,3,4,6,2,5,6,4,4,5,4,5,2,4,5,5,4,3,4,4,5,6,4,5,4,6,4,3,3,3,2,3,3,3,4,3,4,4,5,5,3,3,4,2,4,4,2,3,4,3,2,5,3,5,2,4,6,4,5,4,5,3,4,3,3,3,4,6,3,3,2,4,3,3,3,5,2,1,5,5,3,4,5,3,4,3,4,5,3,4,3,4,3,4,3,3,4,2,5,1,4,4,3,3,3,5,3,4,5,5,2,3,4,2,5,3,4,4,5,4,3,4,3,4,3,4,5,5,5,5,5,5,5,5,5,4,5,5,2,3,0,5,2,4,5,3,5,5,4,3,6,4,2,1,2,2,2,2,2,49,3,4,5,5,4,43,5,8,10,11,9,1,0,1,2,1,1,1,1,4
R_1JOzSeDeo8C9giY,19,1,,1,,1,,,,,,,,English,11235,4,3,3,1,1,5,5,,,,,,,,,,,,,,,Brooklyn,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,4,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,5,2,2,2,2,2,2,2,5,2,2,2,5,2,4,2,5,2,2,2,2,2,2,2,2,2,6,2,2,5,2,2,2,2,2,2,2,2,2,5,2,2,2,5,2,5,2,2,2,2,5,2,5,2,2,2,5,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,5,5,5,5,5,5,5,5,5,0,0,0,5,5,3,6,2,5,5,6,2,5,4,1,,,2,2,2,2,48,3,5,6,6,4,51,8,11,12,11,9,0,,,,1,1,1,1,4
R_3Es34ibcFLy0eoK,31,2,,1,,,,,,,1,,,English,85310,4,5,5,2,1,5,5,,,,,,,,,,,,,,,"Glendale, Arizona",7,6,3,6,6,7,7,7,3,7,6,7,7,6,7,7,3,7,7,7,7,6,7,7,7,3,3,5,6,5,7,7,6,7,7,7,3,7,7,7,7,7,7,6,7,7,7,7,7,6,5,6,7,7,7,7,7,7,7,7,3,5,6,7,7,7,7,3,5,5,6,7,5,7,7,7,5,7,5,5,7,5,5,6,7,6,7,7,2,7,7,7,7,4,7,6,7,7,7,1,1,1,1,1,3,1,2,1,1,1,1,2,3,1,1,1,4,2,3,1,2,3,1,1,2,2,1,2,6,3,1,1,2,1,7,1,1,1,2,1,1,1,5,1,1,3,1,3,1,1,1,4,1,1,3,6,2,1,1,5,2,3,3,3,1,1,1,1,2,5,1,5,1,1,1,2,1,1,5,1,3,1,1,5,1,1,3,1,1,5,5,3,5,2,1,1,1,5,2,4,4,4,4,4,4,5,5,4,5,5,0,5,1,3,7,5,6,3,7,3,7,5,6,1,5,4,5,1,2,1,2,43,5,3,3,5,7,56,12,10,9,11,14,4,3,4,11,0,1,0,1,2
R_4Yewr82UQS7GGGt,31,1,,1,,,,,,,1,,,English,16505,5,3,3,4,1,5,5,,,,,,,,,,,,,,,"Erie, Pennsylvania",7,3,7,2,4,3,7,6,6,5,6,7,7,5,3,6,3,2,3,6,6,3,7,6,3,7,2,7,6,5,3,7,7,6,6,5,7,2,4,5,5,3,1,7,7,6,5,6,7,7,7,4,7,7,5,6,3,6,2,1,2,6,7,5,5,7,5,1,7,7,6,7,6,1,6,2,5,7,5,6,5,7,3,3,5,6,7,2,2,2,1,4,7,1,6,5,7,6,5,1,1,1,6,3,2,1,3,1,2,1,2,3,2,2,1,1,5,2,6,1,1,2,6,5,1,2,5,3,1,1,6,6,6,3,7,1,4,1,5,4,1,2,5,3,2,6,3,3,2,1,1,5,3,3,5,1,6,2,3,5,1,4,3,2,1,1,3,5,5,2,3,3,5,2,3,5,2,3,1,6,2,1,1,2,1,4,2,2,1,5,6,5,1,2,3,3,5,3,6,3,4,4,4,4,4,4,4,3,4,5,2,2,0,4,3,3,2,6,1,5,7,6,2,5,2,2,2,1,1,1,1,38,3,5,2,2,3,30,6,12,4,4,4,1,1,1,3,0,0,0,0,0
R_1isPuAOQlLN2tg2,29,2,,1,,,,,,,1,,,english,48188,5,5,5,2,1,2,1,0,10,10,0,0,10,5,0,0,0,80,20,0,0,"ypsilanti, Michigan",4,2,6,1,7,3,7,5,7,6,4,4,6,6,5,6,5,5,7,7,6,3,7,7,5,2,5,5,5,6,6,5,7,5,7,6,6,7,5,5,7,4,6,5,5,6,6,6,5,2,3,4,5,5,7,2,5,2,5,3,5,5,6,6,7,6,6,7,5,5,4,6,4,7,6,6,2,5,5,3,3,6,7,6,7,5,6,6,1,6,6,5,6,2,5,5,3,5,4,7,1,1,7,2,1,1,5,1,3,4,3,1,2,1,1,1,5,5,2,1,1,2,4,1,3,4,2,1,7,6,1,1,1,1,1,1,1,1,1,5,1,1,3,2,5,2,1,3,2,1,5,1,6,3,2,1,2,2,1,7,2,1,1,3,3,5,3,1,1,3,1,3,1,1,1,3,1,5,5,2,6,5,2,2,2,5,5,1,5,1,1,6,3,2,1,2,5,6,7,4,4,5,5,4,5,5,5,5,5,5,0,1,0,5,5,2,5,3,4,3,6,3,6,6,1,,,2,2,2,2,47,5,6,5,5,2,49,10,12,10,11,6,0,,,,1,1,1,1,4
R_2zRN2G24z3Flmjy,30,1,,1,,,,1,,,,,,english,11211,5,3,3,3,1,3,3,,,,,,,,,,,,,,,Brooklyn ,6,6,5,5,5,5,5,7,3,3,6,6,6,7,5,7,6,7,7,4,6,5,7,7,7,3,7,6,2,6,5,5,6,6,7,6,3,7,7,6,7,6,7,5,6,7,6,6,7,3,6,7,5,7,6,7,6,2,7,7,6,5,4,7,6,5,7,6,6,6,7,7,6,6,6,7,3,6,5,4,5,4,6,3,6,5,7,7,6,6,6,6,7,7,6,7,5,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,5,1,1,1,1,1,1,1,5,5,5,5,5,5,4,5,5,5,4,0,2,0,5,5,1,7,1,7,6,7,1,7,1,4,3,4,1,2,1,2,49,2,7,7,7,7,63,7,14,14,14,14,3,2,3,8,0,1,0,1,2
R_2SqyLB56i3u1jCt,26,1,,1,,,,1,,,,,,English,33135,5,1,8,4,1,3,4,7,0,0,7,0,7,0,10,0,0,100,0,0,0,Miami,4,2,4,4,3,6,6,5,5,4,4,4,5,4,2,2,4,4,4,3,5,5,4,2,2,4,5,6,2,2,4,4,3,5,3,4,6,3,4,3,3,2,4,6,4,6,3,5,4,6,3,4,4,6,6,4,4,4,3,4,5,4,6,5,2,5,5,2,4,5,6,4,2,4,2,2,5,4,4,5,3,6,4,4,2,6,4,4,5,4,5,2,4,4,6,5,4,6,6,4,3,2,5,2,5,2,4,5,3,4,2,3,4,3,2,4,4,5,4,4,2,5,2,3,5,2,4,4,6,4,6,4,6,4,4,2,6,6,6,4,2,2,3,3,4,3,4,2,3,2,2,4,4,4,2,5,4,2,6,2,6,3,5,6,2,3,4,4,6,6,3,4,2,2,3,4,4,4,6,4,3,4,2,4,5,4,3,5,4,3,3,6,3,4,2,2,6,4,4,2,2,2,2,2,2,2,2,2,2,4,5,10,0,5,1,1,1,4,6,2,5,2,5,7,1,,,2,2,2,2,20,6,7,6,4,1,42,7,12,7,9,7,0,,,,1,1,1,1,4
R_UG96VuFq0jpmk6d,34,1,,1,,1,,,,,1,,,English,24614,5,7,5,3,1,3,3,,,,,,,,,,,,,,,"Raleigh, NC",6,4,6,5,5,4,7,7,4,3,2,4,7,7,6,5,6,5,4,6,6,4,7,4,6,6,7,4,2,3,3,4,4,4,4,4,5,4,4,5,6,5,6,7,7,3,4,4,6,6,5,5,3,7,6,6,3,5,6,6,6,6,7,3,6,7,6,3,6,7,7,7,4,4,6,6,2,6,5,4,7,6,7,2,2,6,6,5,6,4,2,4,6,5,6,7,4,2,4,2,1,4,3,2,4,1,2,2,1,2,4,2,1,5,4,1,4,4,4,2,2,4,1,3,1,1,3,1,1,5,4,1,1,2,1,2,4,3,5,3,2,3,1,2,4,2,1,1,1,2,4,1,2,2,1,3,3,2,1,2,2,2,3,2,4,2,1,2,1,2,3,5,5,4,1,3,3,4,3,2,1,5,2,5,5,1,5,5,2,1,2,2,1,2,1,1,3,2,2,5,5,5,5,5,5,5,5,5,5,5,0,0,0,5,4,3,7,1,7,6,2,1,5,1,2,2,2,2,2,2,2,50,2,5,7,7,7,53,6,7,14,12,14,1,1,1,3,1,1,1,1,4
R_1jcw7MTtHAFPLEU,23,1,,1,,,,1,,,,,,english,91722,5,3,3,1,1,4,4,,,,,,,,,,,,,,,los angeles,5,4,3,5,5,5,3,3,3,4,3,3,4,3,3,3,3,4,5,3,3,6,3,5,4,5,4,4,3,6,5,4,3,5,3,4,3,4,3,4,4,3,5,4,3,3,5,5,3,3,6,3,3,4,6,4,6,5,3,3,4,5,4,5,3,3,4,5,3,4,5,3,3,3,3,3,3,4,3,2,6,3,3,6,3,4,4,4,3,4,5,3,5,3,3,4,3,4,3,2,3,5,2,3,3,3,3,3,5,3,3,2,3,3,6,3,3,3,3,3,6,3,3,3,3,5,3,3,5,3,2,2,3,5,3,3,3,3,3,3,3,2,3,2,3,3,2,6,3,4,6,3,3,3,5,5,3,3,3,3,4,2,3,4,3,3,3,3,3,3,4,6,5,3,3,3,3,3,3,4,3,3,3,3,4,2,2,3,4,3,3,2,4,3,3,3,5,2,3,5,5,5,5,5,5,5,5,5,5,5,0,0,0,5,7,2,6,1,6,2,1,2,6,2,1,,,2,2,2,2,50,6,6,6,7,6,57,13,7,12,13,12,0,,,,1,1,1,1,4
